imdb_id,original_title
tt1517268,Barbie
tt6751668,기생충
tt0816692,Interstellar
tt0137523,Fight Club
tt3783958,La La Land
tt6710474,Everything Everywhere All at Once
tt2582802,Whiplash
tt15398776,Oppenheimer
tt0110912,Pulp Fiction
tt0120382,The Truman Show
tt17526714,The Substance
tt7286456,Joker
tt0338013,Eternal Sunshine of the Spotless Mind
tt1160419,Dune
tt5052448,Get Out
tt4633694,Spider-Man: Into the Spider-Verse
tt8772262,Midsommar
tt1877830,The Batman
tt0468569,The Dark Knight
tt1375666,Inception
tt31193180,Sinners
tt0144084,American Psycho
tt8946378,Knives Out
tt15239678,Dune: Part Two
tt9362722,Spider-Man: Across the Spider-Verse
tt0097165,Dead Poets Society
tt0147800,10 Things I Hate About You
tt0245429,千と千尋の神隠し
tt0993846,The Wolf of Wall Street
tt17351924,Saltburn
tt16426418,Challengers
tt5040012,Nosferatu
tt2278388,The Grand Budapest Hotel
tt4925292,Lady Bird
tt0114369,Se7en
tt0947798,Black Swan
tt14230458,Poor Things
tt0109830,Forrest Gump
tt0361748,Inglourious Basterds
tt9764362,The Menu
tt0081505,The Shining
tt5950044,Superman
tt2267998,Gone Girl
tt28607951,Anora
tt3281548,Little Women
tt10872600,Spider-Man: No Way Home
tt5726616,Call Me by Your Name
tt0102926,The Silence of the Lambs
tt0266697,Kill Bill: Vol. 1
tt1022603,(500) Days of Summer
tt0119217,Good Will Hunting
tt1130884,Shutter Island
tt0068646,The Godfather
tt1262426,Wicked
tt0382932,Ratatouille
tt0432283,Fantastic Mr. Fox
tt1659337,The Perks of Being a Wallflower
tt1853728,Django Unchained
tt4154756,Avengers: Infinity War
tt4154796,Avengers: Endgame
tt3890160,Baby Driver
tt6263850,Deadpool & Wolverine
tt7784604,Hereditary
tt0133093,The Matrix
tt0075314,Taxi Driver
tt0111161,The Shawshank Redemption
tt22022452,Inside Out 2
tt1285016,The Social Network
tt1798709,Her
tt0446029,Scott Pilgrim vs. the World
tt0120737,The Lord of the Rings: The Fellowship of the Ring
tt12299608,Mickey 17
tt0377092,Mean Girls
tt0246578,Donnie Darko
tt2096673,Inside Out
tt0120338,Titanic
tt0449059,Little Miss Sunshine
tt11564570,Glass Onion
tt0327597,Coraline
tt20215234,Conclave
tt2543164,Arrival
tt1392170,The Hunger Games
tt13238346,Past Lives
tt2015381,Guardians of the Galaxy
tt18925334,Pearl
tt2380307,Coco
tt0304141,Harry Potter and the Prisoner of Azkaban
tt0458352,The Devil Wears Prada
tt1856101,Blade Runner 2049
tt0347149,ハウルの動く城
tt10954984,Nope
tt2584384,Jojo Rabbit
tt19770238,Aftersun
tt0241527,Harry Potter and the Philosopher’s Stone
tt1049413,Up
tt0099685,GoodFellas
tt0076759,Star Wars
tt1825683,Black Panther
tt0088763,Back to the Future
tt1431045,Deadpool
tt0414387,Pride & Prejudice
tt6857112,Us
tt0332280,The Notebook
tt0910970,WALL·E
tt0477348,No Country for Old Men
tt1392214,Prisoners
tt23468450,Longlegs
tt1392190,Mad Max: Fury Road
tt0780504,Drive
tt0126029,Shrek
tt2250912,Spider-Man: Homecoming
tt2948372,Soul
tt1745960,Top Gun: Maverick
tt0117571,Scream
tt6791350,Guardians of the Galaxy Vol. 3
tt0209144,Memento
tt11286314,Don’t Look Up
tt17009710,Anatomie d'une chute
tt12593682,Bullet Train
tt7984734,The Lighthouse
tt1630029,Avatar: The Way of Water
tt0499549,Avatar
tt0180093,Requiem for a Dream
tt0848228,The Avengers
tt0078748,Alien
tt13560574,X
tt0088847,The Breakfast Club
tt0062622,2001: A Space Odyssey
tt0264464,Catch Me If You Can
tt0099785,Home Alone
tt1396484,It
tt14849194,The Holdovers
tt26581740,Weapons
tt0096283,となりのトトロ
tt0107290,Jurassic Park
tt0145487,Spider-Man
tt0829482,Superbad
tt0172495,Gladiator
tt0795421,Mamma Mia!
tt0080684,The Empire Strikes Back
